Condition	Block	Frequency	Timing File	Info	TaskObject#1	TaskObject#2	TaskObject#3
1	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.94,'n_beeps',8,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',1	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0001.wav')
2	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',2.21,'n_beeps',9,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',2	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0002.wav')
3	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',0.86,'n_beeps',4,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',3	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0003.wav')
4	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.67,'n_beeps',7,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',4	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0004.wav')
5	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.13,'n_beeps',5,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',5	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0005.wav')
6	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',0.86,'n_beeps',4,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',6	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0006.wav')
7	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',0.86,'n_beeps',4,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',7	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0007.wav')
8	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',0.86,'n_beeps',4,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',8	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0008.wav')
9	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',1.13,'n_beeps',5,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',9	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0009.wav')
10	1	1	kikuchi_decisiontiming_v1.m	'block_name','short','mean_dur',2.0,'predictability',1.0,'actual_seq_dur',2.21,'n_beeps',9,'isis_mean',0.22,'isis_std',0.0,'practice',0,'beep_wav_index',10	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0010.wav')
