Condition	Block	Frequency	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7
1	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
2	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
3	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
4	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
5	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
6	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
7	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
8	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
9	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
10	1	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
