Condition	Block	Frequency	Timing File	TaskObject#1	TaskObject#2	TaskObject#3
1	1	1	kikuchi_localglobal_v3	fix(0,0)	snd('stimuli/AAAAA.wav')	sqr(1,[0 0 0],1,0,7)

2	2	1	kikuchi_localglobal_v3	fix(0,0)	snd('stimuli/AAAAA.wav')	sqr(1,[0 0 0],1,0,7)
3	2	1	kikuchi_localglobal_v3	fix(0,0)	snd('stimuli/AAAAB.wav')	sqr(1,[0 0 0],1,0,7)

4	3	1	kikuchi_localglobal_v3	fix(0,0)	snd('stimuli/AAAAB.wav')	sqr(1,[0 0 0],1,0,7)

5	4	4	kikuchi_localglobal_v3	fix(0,0)	snd('stimuli/AAAAB.wav')	sqr(1,[0 0 0],1,0,7)
6	4	1	kikuchi_localglobal_v3	fix(0,0)	snd('stimuli/AAAAA.wav')	sqr(1,[0 0 0],1,0,7)

7	5	1	kikuchi_localglobal_v3	fix(0,0)	snd('stimuli/AAAAA.wav')	sqr(1,[0 0 0],1,0,7)

8	6	4	kikuchi_localglobal_v3	fix(0,0)	snd('stimuli/AAAAA.wav')	sqr(1,[0 0 0],1,0,7)
9	6	1	kikuchi_localglobal_v3	fix(0,0)	snd('stimuli/AAAA_A.wav')	sqr(1,[0 0 0],1,0,7)

10	7	1	kikuchi_localglobal_v3	fix(0,0)	snd('stimuli/AAAA_A.wav')	sqr(1,[0 0 0],1,0,7)

11	8	4	kikuchi_localglobal_v3	fix(0,0)	snd('stimuli/AAAA_A.wav')	sqr(1,[0 0 0],1,0,7)
12	8	1	kikuchi_localglobal_v3	fix(0,0)	snd('stimuli/AAAAA.wav')	sqr(1,[0 0 0],1,0,7)
