Condition	Block	Frequency	Timing File	TaskObject#1
1	1	1	kikuchi_localiser_v1	snd('stimuli/audio/00_norm.wav')
2	1	1	kikuchi_localiser_v1	snd('stimuli/audio/01_norm.wav')
3	1	1	kikuchi_localiser_v1	snd('stimuli/audio/02_norm.wav')
4	1	1	kikuchi_localiser_v1	snd('stimuli/audio/03_norm.wav')
5	1	1	kikuchi_localiser_v1	snd('stimuli/audio/04_norm.wav')
6	1	1	kikuchi_localiser_v1	snd('stimuli/audio/05_norm.wav')
7	1	1	kikuchi_localiser_v1	snd('stimuli/audio/06_norm.wav')
8	1	1	kikuchi_localiser_v1	snd('stimuli/audio/07_norm.wav')
9	1	1	kikuchi_localiser_v1	snd('stimuli/audio/08_norm.wav')
10	1	1	kikuchi_localiser_v1	snd('stimuli/audio/09_norm.wav')
11	1	1	kikuchi_localiser_v1	snd('stimuli/audio/10_norm.wav')
12	1	1	kikuchi_localiser_v1	snd('stimuli/audio/11_norm.wav')
13	1	1	kikuchi_localiser_v1	snd('stimuli/audio/12_norm.wav')
14	1	1	kikuchi_localiser_v1	snd('stimuli/audio/13_norm.wav')
15	1	1	kikuchi_localiser_v1	snd('stimuli/audio/14_norm.wav')
16	1	1	kikuchi_localiser_v1	snd('stimuli/audio/15_norm.wav')
17	1	1	kikuchi_localiser_v1	snd('stimuli/audio/16_norm.wav')
18	1	1	kikuchi_localiser_v1	snd('stimuli/audio/17_norm.wav')
19	1	1	kikuchi_localiser_v1	snd('stimuli/audio/18_norm.wav')
20	1	1	kikuchi_localiser_v1	snd('stimuli/audio/19_norm.wav')
21	1	1	kikuchi_localiser_v1	snd('stimuli/audio/20_norm.wav')
22	1	1	kikuchi_localiser_v1	snd('stimuli/audio/21_norm.wav')
23	1	1	kikuchi_localiser_v1	snd('stimuli/audio/22_norm.wav')
24	1	1	kikuchi_localiser_v1	snd('stimuli/audio/23_norm.wav')
25	1	1	kikuchi_localiser_v1	snd('stimuli/audio/28-Cue 14_norm.wav')
26	1	1	kikuchi_localiser_v1	snd('stimuli/audio/33-Cue 112_norm.wav')
27	1	1	kikuchi_localiser_v1	snd('stimuli/audio/35-Cue 121_norm.wav')
